Number,Name,Image,Zugehörigkeit,Moved,Specialty 1,Specialty 2,Ideal Habitat,Favorite 1,Favorite 2,Favorite 3,Favorite 4,Favorite 5,Favorite 6
#001,Bulbasaur,,Thomas,,Grow,,Bright,Lots of nature,Soft stuff,Cute stuff,Lots of water,Group activities,Sweet Flavors
#002,Ivysaur,,Thomas,Yes,Grow,,Bright,Lots of nature,Soft stuff,Cute stuff,Pretty flowers,Colorful stuff,Sour Flavors
#003,Venusaur,,Thomas,Yes,Grow,Litter,Bright,Lots of nature,Soft stuff,Cute stuff,Pretty flowers,Luxury,Sour Flavors
#004,Charmander,,Thomas,Yes,Burn,,Warm,Lots of fire,Wooden stuff,Hard stuff,Exercise,Group activities,Spicy flavors
#005,Charmeleon,,Thomas,Yes,Burn,,Warm,Lots of fire,Wooden stuff,Hard stuff,Exercise,Rides,Spicy flavors
#006,Charizard,,Thomas,,Burn,Fly,Warm,Lots of fire,Nice breezes,Wooden stuff,Exercise,Luxury,Spicy flavors
#007,Squirtle,,Daniel,,Water,,Humid,Lots of water,Cleanliness,Healing,Cute stuff,Group Activites,Sweet Flavors
#008,Wartortle,,Daniel,,Water,,Humid,Lots of water,Cleanliness,Healing,Exercise,Hard stuff,Spicy flavors
#009,Blastoise,,Daniel,,Water,Trade,Humid,Lots of water,Cleanliness,Healing,Exercise,Luxury,Sour Flavors
#010,Pidgey,,Thomas,Yes,Fly,Search,Bright,Soft stuff,Nice breezes,Watching stuff,Lots of nature,Play spaces,Sour Flavors
#011,Pidgeotto,,Thomas,,Fly,Search,Bright,Soft stuff,Nice breezes,Watching stuff,Lots of nature,Looks like food,Spicy flavors
#012,Pidgeot,,Thomas,,Fly,Chop,Bright,Soft stuff,Nice breezes,Wooden stuff,Lots of nature,Luxury,Sour Flavors
#013,Oddish,,Thomas,Yes,Grow,,Humid,Lots of nature,Lots of dirt,Soft stuff,Pretty flowers,Lots of water,Bitter flavors
#014,Gloom,,Thomas,Yes,Grow,,Humid,Lots of nature,Lots of dirt,Soft stuff,Pretty flowers,Garbage,Dry flavors
#015,Vileplume,,Thomas,Yes,Grow,Litter,Humid,Lots of nature,Lots of dirt,Soft stuff,Pretty flowers,Colorful stuff,Bitter flavors
#016,Bellossom,,Daniel,,Grow,Hype,Bright,Lots of nature,Pretty flowers,Play spaces,Cute stuff,Noisy stuff,Sour Flavors
#017,Paras,,Daniel,Yes,Search,,Humid,Lots of nature,Wooden stuff,Watching stuff,Lots of dirt,Looks like food,Bitter flavors
#018,Parasect,,Daniel,,Search,,Humid,Lots of nature,Wooden stuff,Watching stuff,Lots of dirt,Strange stuff,Bitter flavors
#019,Venonat,,Thomas,Yes,Search,,Bright,Lots of nature,Wooden stuff,Watching stuff,Complicated stuff,Letters and words,Bitter flavors
#020,Venomoth,,Thomas,Yes,Search,,Bright,Lots of nature,Wooden stuff,Watching stuff,Nice breezes,Pretty flowers,Bitter flavors
#021,Bellsprout,,Thomas,,Grow,Litter,Humid,Lots of nature,Wooden stuff,Lots of dirt,Lots of water,Pretty flowers,Dry flavors
#022,Weepinbell,,Thomas,Yes,Grow,Litter,Humid,Lots of nature,Wooden stuff,Lots of dirt,Colorful stuff,Pretty flowers,Bitter flavors
